epoch,hamming_loss,loss,macro_f1_score,matthews_correlation,subset_accuracy,val_hamming_loss,val_loss,val_macro_f1_score,val_matthews_correlation,val_subset_accuracy
0,0.48655301332473755,0.45606353878974915,0.09205035865306854,0.05925475060939789,0.037215910851955414,0.6976799368858337,0.2243192046880722,0.09414245933294296,0.032140906900167465,0.0052083334885537624
1,0.48302555084228516,0.364147812128067,0.09203850477933884,0.06188410893082619,0.04981060326099396,0.5854640007019043,0.19987210631370544,0.08574215322732925,0.008598796091973782,0.03030303120613098
2,0.4676373302936554,0.30003219842910767,0.09761016815900803,0.07002129405736923,0.06685605645179749,0.46555399894714355,0.17985282838344574,0.07834136486053467,0.002363845705986023,0.05681818351149559
3,0.44666194915771484,0.25134173035621643,0.10317575186491013,0.08656850457191467,0.08740530163049698,0.3637547492980957,0.16340146958827972,0.0759243592619896,-0.00863576028496027,0.20028407871723175
4,0.4335227310657501,0.22890575230121613,0.10448839515447617,0.08744054287672043,0.10142045468091965,0.2799479067325592,0.1498737633228302,0.08706998825073242,0.02230491302907467,0.3186552822589874
5,0.417803019285202,0.21102400124073029,0.09772796183824539,0.0748843252658844,0.11903409659862518,0.20241476595401764,0.13880187273025513,0.057132672518491745,0.006543657276779413,0.421875
6,0.4121685326099396,0.19876672327518463,0.10064352303743362,0.07995371520519257,0.12414772808551788,0.16998106241226196,0.12981103360652924,0.06313130259513855,0.009692779742181301,0.5099431872367859
7,0.38610324263572693,0.1863137185573578,0.11609949916601181,0.11750833690166473,0.1505681872367859,0.1401515156030655,0.12208468466997147,0.05787035822868347,0.012815822847187519,0.5771780014038086
8,0.3636363744735718,0.17680661380290985,0.12293824553489685,0.13017570972442627,0.19403409957885742,0.12724904716014862,0.11596599221229553,0.0476190410554409,0.0032034192699939013,0.6235795617103577
9,0.34370267391204834,0.16796520352363586,0.12543624639511108,0.13163645565509796,0.1618371158838272,0.10913825035095215,0.11059176176786423,0.0555555485188961,0.018441064283251762,0.6652461886405945
10,0.3277462124824524,0.16040313243865967,0.1296033263206482,0.13650372624397278,0.22689394652843475,0.09872158616781235,0.10571610182523727,0.0555555485188961,0.026558294892311096,0.7017045021057129
11,0.3180634677410126,0.15207195281982422,0.12098748236894608,0.11835655570030212,0.23873105645179749,0.09481533616781235,0.10152005404233932,0.06111110374331474,0.03585449978709221,0.7173295021057129
12,0.2921164631843567,0.14580228924751282,0.13892297446727753,0.15481358766555786,0.265625,0.09102746099233627,0.09829533845186234,0.0555555485188961,0.041075095534324646,0.7225378155708313
13,0.2800426185131073,0.1381627917289734,0.14771772921085358,0.17193204164505005,0.30426135659217834,0.08842328935861588,0.09519375115633011,0.0555555485188961,0.04550088569521904,0.7329545021057129
14,0.25487688183784485,0.13544361293315887,0.14313632249832153,0.16131241619586945,0.34015151858329773,0.07315340638160706,0.09261735528707504,0.10277777165174484,0.1133074164390564,0.7433711886405945
